PMID,ISSN,JournalTitle,ISOAbbreviation,ArticleTitle,Authors,Year,Month,Day
900,0065-2598,Advances in experimental medicine and biology,Adv Exp Med Biol,Hard tissue tumors of scleractinian corals.,"Cheney, D P, DP",1975,NA,NA
901,0065-3144,Advances in pharmacology and chemotherapy,Adv Pharmacol Chemother,"Sex as a factor in metabolism, toxicity, and efficacy of pharmacodynamic and chemotherapeutic agents.","Goble, F C, FC",1975,NA,NA
902,0065-3144,Advances in pharmacology and chemotherapy,Adv Pharmacol Chemother,Effect of amphetamine-type psychostimulants on brain metabolism.,"Estler, C J, CJ",1975,NA,NA
904,0069-634X,Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association),Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc,Frustration.,"Morton, G, G",1975,NA,NA
903,0002-8703,American heart journal,Am Heart J,Electrophysiology and pharmacology of cardiac arrhythmias. IX. Cardiac electrophysiologic effects of beta adrenergic receptro stimulation and blockade. Part C.,"Wit, A L, AL; Hoffman, B F, BF; Rosen, M R, MR",1975,Dec,NA
905,0069-634X,Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association),Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc,Dedication 1975...it almost wasn't.,,1975,NA,NA
906,0002-9262,American journal of epidemiology,Am J Epidemiol,Epidemiologic investigations of the 1969 epidemic of Venezuelan encephalitis in Ecuador.,"Gutierrev, E, E; Monath, T P, TP; Alava, A, A; Uriguen, D, D; Arzube, M, M; Chamberlain, R W, RW",1975,Nov,NA
907,0002-9378,American journal of obstetrics and gynecology,Am J Obstet Gynecol,Congenital malformations of the central nervous system produced by narcotic analgesics in the hamster.,"Geber, W F, WF; Schramm, L C, LC",1975,Dec,01
908,0093-7002,American journal of optometry and physiological optics,Am J Optom Physiol Opt,Evaluation of a non-professional visual screening method.,"Wick, B, B; Meguire, G, G; O'Neal, M R, MR",1975,Sep,NA
909,0002-9513,The American journal of physiology,Am J Physiol,Ionic requirements of proximal tubular sodium transport. II. Hydrogen ion.,"Green, R, R; Giebisch, G, G",1975,Nov,NA
910,0002-9513,The American journal of physiology,Am J Physiol,"ECS, intracellular pH, and electrolytes of cardiac and skeletal muscle.","Poole-Wilson, P A, PA; Cameron, I R, IR",1975,Nov,NA
911,0002-9513,The American journal of physiology,Am J Physiol,Intracellular pH and K+ of cardiac and skeletal muscle in acidosis and alkalosis.,"Poole-Wilson, P A, PA; Cameron, I R, IR",1975,Nov,NA
912,0002-9513,The American journal of physiology,Am J Physiol,Effects of autonomic neurohumors on transmembrane potentials of atrial plateau fibers.,"Davis, L D, LD",1975,Nov,NA
913,0002-9513,The American journal of physiology,Am J Physiol,Interstitial fluid pressure and alkaline gastric secretion.,"Altamirano, M, M; Requena, NA, NA; Pérez, T C, TC",1975,Nov,NA
914,0002-953X,The American journal of psychiatry,Am J Psychiatry,Overview: maintenance therapy in psychiatry: I. Schizophrenia.,"Davis, J M, JM",1975,Dec,NA
915,0002-953X,The American journal of psychiatry,Am J Psychiatry,Inpatient and outpatient patterns of psychotropic drug prescribing by nonpsychiatrist physicians.,"Raft, D, D; Davidson, J, J; Toomey, T C, TC; Spencer, R F, RF; Lewis, B F, BF",1975,Dec,NA
916,0002-953X,The American journal of psychiatry,Am J Psychiatry,Letter: More on the treatment of delusional depressed patients.,"Ulett, G A, GA; Ziegler, V E, VE; Clayton, P J, PJ; Biggs, J T, JT",1975,Dec,NA
917,0002-953X,The American journal of psychiatry,Am J Psychiatry,Letter: Energizing effects of piperacetazine.,"Galambos, M, M",1975,Dec,NA
918,0090-0036,American journal of public health,Am J Public Health,Toward a national health policy--values in conflict.,"Pickett, G, G",1975,Dec,NA
919,0002-9637,The American journal of tropical medicine and hygiene,Am J Trop Med Hyg,Eastern equine encephalomyelitis in upstate New York 1972-1974.,"Morris, C D, CD; Caines, A R, AR; Woodall, J P, JP; Bast, T F, TF",1975,Nov,NA
920,0003-2417,Der Anaesthesist,Anaesthesist,[Metabolic acidosis as a side-effect of methoxyflurane anesthesia (author's transl)].,"Hempel, V, V; Haschemian, A, A; Braun, U, U",1975,Aug,NA
921,0003-2697,Analytical biochemistry,Anal Biochem,Purification of flavin-adenine dinucleotide and coenzyme A on p-acetoxymercurianiline--Agarose columns.,"Matuo, Y, Y; Sano, R, R; Tosa, T, T; Chibata, I, I",1975,Oct,NA
922,0003-2697,Analytical biochemistry,Anal Biochem,A problem encountered in a study of the effects of lanthanide ions on enzyme-catalyzed reactions.,"Ellis, K J, KJ; Morrison, J F, JF",1975,Oct,NA
923,0003-2697,Analytical biochemistry,Anal Biochem,An accurate method for estimating 5-phosphoribosyl 1-pyrophosphate in animal tissues with the use of acid extraction.,"Hisata, T, T",1975,Oct,NA
924,0003-2697,Analytical biochemistry,Anal Biochem,Determination of rhodanese activity using a pH-STAT apparatus.,"Cannella, C, C; Pensa, B, B; Pecci, L, L",1975,Oct,NA
925,0003-2697,Analytical biochemistry,Anal Biochem,Separation of low molecular weight RNA by polyacrylamide gel electrophoresis.,"Varricchio, F, F; Ernst, H J, HJ",1975,Oct,NA
926,0003-2697,Analytical biochemistry,Anal Biochem,A spectrophotometric assay for trans-cinnamic acid 4-hydroxylase activity.,"Lamb, C J, CJ; Rubery, P H, PH",1975,Oct,NA
927,0003-2697,Analytical biochemistry,Anal Biochem,Assay of proteolytic enzyme with a leucine-selective electrode.,"Chien, P T, PT; Michael, L W, LW",1975,Oct,NA
928,0003-2670,Analytica chimica acta,Anal Chim Acta,The polarographic determination of some thiazide diuretics in compound tablets.,"Kkolos, E, E; Walker, J, J",1975,Nov,NA
929,0003-2654,The Analyst,Analyst,The electrochemical determination of vitamin A. Part II. Further voltammetric determination of vitamin A and initial work on the determination of vitamin D in the presence of vitamin A.,"Atuma, S S, SS; Lundström, K, K; Lindquist, J, J",1975,Nov,NA
930,0003-3022,Anesthesiology,Anesthesiology,Protective effect of hypothermia in cerebral oxygen deficiency caused by arterial hypoxia.,"Carlsson, C, C; Hägerdal, M, M; Siesjö, B K, BK",1976,Jan,NA
931,0003-3022,Anesthesiology,Anesthesiology,Hazards of anesthesia and operation in maple-syrup-urine disease.,"Delaney, A, A; Gal, T J, TJ",1976,Jan,NA
932,0003-3022,Anesthesiology,Anesthesiology,Letter: Fluroxene concentration in the perfusate.,"Kemmotsu, O, O",1976,Jan,NA
933,0002-9645,American journal of veterinary research,Am J Vet Res,Characterization of a caprine herpesvirus.,"Berrios, P E, PE; McKercher, D G, DG",1975,Dec,NA
934,0002-9645,American journal of veterinary research,Am J Vet Res,Transfer of drugs across the ruminal wall in goats.,"Jenkins, W L, WL; Davis, L E, LE; Boulos, B M, BM",1975,Dec,NA
935,0003-0805,The American review of respiratory disease,Am Rev Respir Dis,Preservation of hypoxic pulmonary pressor response in canine pneumococcal pneumonia.,"Hiser, W, W; Penman, R W, RW; Reeves, J T, JT",1975,Dec,NA
936,0003-0805,The American review of respiratory disease,Am Rev Respir Dis,Value of capillary blood gas analyses in the management of acute respiratory distress.,"Begin, R, R; Racine, T, T; Roy, J C, JC",1975,Dec,NA
937,0003-4819,Annals of internal medicine,Ann Intern Med,Bone marrow transplantation in man.,"Cline, M J, MJ; Gale, R P, RP; Stiehm, E R, ER; Opelz, G, G; Young, L S, LS; Feig, S A, SA; Fahey, J L, JL",1975,Nov,NA
938,0003-4819,Annals of internal medicine,Ann Intern Med,The virus hypothesis in systemic lupus erythematosus.,"Phillips, P E, PE",1975,Nov,NA
939,0003-4819,Annals of internal medicine,Ann Intern Med,Letter: beta-Blockers and myasthenia gravis.,"Herishanu, Y, Y; Rosenberg, P, P",1975,Dec,NA
940,0003-4819,Annals of internal medicine,Ann Intern Med,Letter: Heat exhaustion and respiratory alkalosis.,"Boyd, A E, AE; Beller, G A, GA",1975,Dec,NA
941,0077-8923,Annals of the New York Academy of Sciences,Ann N Y Acad Sci,Ascorbic acid and biological systems. Ascorbic acid and electron transport.,"Weis, W, W",1975,Sep,30
942,0077-8923,Annals of the New York Academy of Sciences,Ann N Y Acad Sci,Some properties of the ascorbate free radical.,"Bielski, B H, BH; Richter, H W, HW; Chan, P C, PC",1975,Sep,30
943,0077-8923,Annals of the New York Academy of Sciences,Ann N Y Acad Sci,"Dehydroascorbate uptake and reduction by human blood neutrophils, erythrocytes, and lymphocytes.","Stankova, L, L; Rigas, D A, DA; Bigley, R H, RH",1975,Sep,30
944,0077-8923,Annals of the New York Academy of Sciences,Ann N Y Acad Sci,The membrane transport of ascorbic acid.,"Mann, G V, GV; Newton, P, P",1975,Sep,30
945,0077-8923,Annals of the New York Academy of Sciences,Ann N Y Acad Sci,Chemistry and metabolism of ascorbic acid and ascorbate sulfate.,"Tolbert, B M, BM; Downing, M, M; Carlson, R W, RW; Knight, M K, MK; Baker, E M, EM",1975,Sep,30
946,0077-8923,Annals of the New York Academy of Sciences,Ann N Y Acad Sci,Safety considerations with high ascorbic acid dosage.,"Barness, L A, LA",1975,Sep,30
947,0077-8923,Annals of the New York Academy of Sciences,Ann N Y Acad Sci,Carcinofetal alterations in glucosamine-6-phosphate synthetase.,"Tsuiki, S, S; Miyagi, T, T",1975,Aug,22
948,0077-8923,Annals of the New York Academy of Sciences,Ann N Y Acad Sci,"A hepatoma-associated alkaline phosphatase, the Kasahara isozyme, compared with one of the isozymes of FL amnion cells.","Higashino, K, K; Kudo, S, S; Otani, R, R; Yamamura, Y, Y",1975,Aug,22
949,0035-8843,Annals of the Royal College of Surgeons of England,Ann R Coll Surg Engl,Gamma-glutamyl transpeptidase. A sensitive indicator  of renal ischaemic injury in experimental animals and renal homograft rejection in man.,"Ward, J P, JP",1975,Nov,NA
950,0003-6919,Applied microbiology,Appl Microbiol,Influence of pH on the heat inactivation of staphylococcal enterotoxin A as determined by monkey feeding and serological assay.,"Humber, J Y, JY; Denny, C B, CB; Bohrer, C W, CW",1975,Nov,NA
951,0003-6919,Applied microbiology,Appl Microbiol,Survival of salmonellae during pepperoni manufacture.,"Smith, J L, JL; Huhtanen, C N, CN; Kissinger, J C, JC; Palumbo, S A, SA",1975,Nov,NA
952,0003-6919,Applied microbiology,Appl Microbiol,Growth of Staphylococcus and Salmonella on frankfurters with and without sodium nitrite.,"Bayne, H G, HG; Michener, H D, HD",1975,Nov,NA
953,0003-6919,Applied microbiology,Appl Microbiol,Characterization of an extracellular dextranase from Fusarium moniliforme.,"Simonson, L G, LG; Liberta, A E, AE; Richardson, A, A",1975,Nov,NA
954,0003-6919,Applied microbiology,Appl Microbiol,Nonautotrophic Thiobacillus in acid mine water.,"Myers, P S, PS; Millar, W N, WN",1975,Nov,NA
955,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Reduced nicotinamide adenine dinucleotide phosphate (NADPH)-dependent formation and breakdown of hydrogen peroxide during mixed function oxidation reactions in liver microsomes.,"Hildebraunt, A G, AG; Roots, I, I",1975,Dec,NA
956,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Mixed function oxidation of hexobarbital and generation of NADPH by the hexose monophosphate shunt in isolated rat liver cells.,"Junge, O, O; Brand, K, K",1975,Dec,NA
957,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Studies on the alkaline phosphatase and 5'-nucleotidase of Dictyostelium discoideum.,"Lee, A, A; Chance, K, K; Weeks, C, C; Weeks, G, G",1975,Dec,NA
958,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Evidence of an essential histidine residue in rabbit liver aryl sulfatase A.,"Lee, G D, GD; van Etten, R L, RL",1975,Dec,NA
959,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Substrate and inhibitor complexes of dihydrofolate reductase from amethopterin-resistant L1210 cells.,"Neef, V G, VG; Huennekens, F M, FM",1975,Dec,NA
960,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Glyceraldehyde-3-phosphate dehydrogenases from Euglena gracilis. Purification and physical and chemical characterization.,"Grissom, F E, FE; Kahn, J S, JS",1975,Dec,NA
961,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Isoionic titration and isopycnic density gradient centrifugation studies of magnesium activation and subunit dissociation in yeast enolase.,"Brewer, J M, JM",1975,Dec,NA
962,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,A beta-disordered chain transition in oligo(Tyr-Ala-Glu).,"Auer, H E, HE; Patton, E, E",1975,Dec,NA
963,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Aminoacylation of Escherichia coli cysteine tRNA by selenocysteine.,"Young, P A, PA; Kaiser, I I, II",1975,Dec,NA
964,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,A Polydeoxythymidylic acid-specific deoxyribonuclease from rat ascites hepatoma cells.,"Tsuruo, T, T",1975,Dec,NA
965,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Effects of net charge on the hydrogen-deuterium exchange parameters of lysozyme.,"Kakuda, Y, Y; Mueller, D D, DD",1975,Dec,NA
966,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Effect of pH and ionic strength on the catalytic and allosteric properties of native and chemically modified ox liver mitochondrial glutamate dehydrogenase.,"Di Prisco, G, G",1975,Dec,NA
967,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Carbohydrate compositions of the rabbit plasminogen isozymes.,"Hayes, M L, ML; Bretthauer, R K, RK; Castellino, F J, FJ",1975,Dec,NA
968,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,"PH dependence of the alpha-glucose 1,6-diphosphate inhibition of hexokinase II.","Rose, I A, IA; Warms, J V, JV",1975,Dec,NA
969,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Inhibition by lipoperoxidation of amino acid incorporation by rough microsomal membranes in vitro and its partial reversibility.,"Shires, T K, TK",1975,Dec,NA
970,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,Enzymatic synthesis and reactions of uridine 5'-(5-thio-alphaD-glucopyranosyl pyrophosphate).,"Graham, T L, TL; Whistler, R L, RL",1975,Dec,NA
971,0003-9861,Archives of biochemistry and biophysics,Arch Biochem Biophys,"Heme-linked protonation of HCN, CO, NO and O2 complexes of reduced horseradish peroxidases.","Yamada, H, H; Yamazaki, I, I",1975,Dec,NA
972,0003-987X,Archives of dermatology,Arch Dermatol,Graft versus host reaction. An ultrastructural study.,"De Dobbeleer, G D, GD; Ledoux-Corbusier, M H, MH; Achten, G A, GA",1975,Dec,NA
973,1468-2044,Archives of disease in childhood,Arch Dis Child,Nephrotic syndrome in indian children.,"Srivastava, R N, RN; Mayekar, G, G; Anand, R, R; Choudhry, V P, VP; Ghai, O P, OP; Tandon, H D, HD",1975,Aug,NA
974,NA,Archives for dermatological research = Archiv fur dermatologische Forschung,Arch Dermatol Res,Separation of deoxyribonucleases (DNases) of normal human stratum corneum and psoriatic scales by micro-disc-electrophoresis.,"Förster, F J, FJ; Leonhardi, G, G; Zöllner, E J, EJ; Zahn, R K, RK",1975,Oct,29
975,NA,Archives for dermatological research = Archiv fur dermatologische Forschung,Arch Dermatol Res,"Subcellular distribution of phosphatases, proteinases, and ribonucleases in normal human stratum corneum and psoriatic scales.","Förster, F J, FJ; Neufahrt, A, A; Stockum, G, G; Bauer, K, K; Frenkel, S, S; Fertig, U, U; Leonhardi, G, G",1975,Nov,14
976,0302-8933,Archives of microbiology,Arch Microbiol,A reinvestigation of the sites of transcription and translation of Euglena chloroplastic phenylalanyl-tRNA synthetase.,"Lesiewicz, J L, JL; Herson, D S, DS",1975,Oct,27
977,0003-9055,Archiv fur experimentelle Veterinarmedizin,Arch Exp Veterinarmed,[Hyperthermia in the rabbit. II. Studies on influencing respiration with exogenic hyperthermia].,"Nichelmann, M, M; Martin, R, R; Scholz, J, J; Lyhs, L, L",1975,NA,NA
978,0003-990X,Archives of general psychiatry,Arch Gen Psychiatry,Outpatient phenothiazine use and bone marrow depression. A report from the drug epidemiology unit and the Boston collaborative drug surveillance program.,"Swett, C, C",1975,Nov,NA
979,0003-911X,Archiv fur Geschwulstforschung,Arch Geschwulstforsch,[Tumour hyperacidulation through intravenous glucose infusion enhanced by amygdalin and beta-glucosidase application (author's transl)].,"Ardenne, M, M; Reitnauer, P G, PG",1975,NA,NA
980,0365-6233,Archiv der Pharmazie,Arch Pharm (Weinheim),[Determination of acidity-constants in mixed solvents (author's transl)].,"Binder, A, A; Ebel, S, S",1975,Oct,NA
981,0004-0010,"Archives of surgery (Chicago, Ill. : 1960)",Arch Surg,Studies of the pain produced by mafenide acetate preparations in burns.,"Harrison, H N, HN; Shuck, J M, JM; Caldwell, E, E",1975,Dec,NA
982,0004-0010,"Archives of surgery (Chicago, Ill. : 1960)",Arch Surg,Microbiol growth in lipid emulsions used in parenteral nutrition.,"Melly, M A, MA; Meng, H C, HC; Schaffner, W, W",1975,Dec,NA
983,0340-5761,Archives of toxicology,Arch Toxicol,Propoxyphene and norpropoxyphene tissue concentrations in fatalities associated with propoxyphene hydrochloride and propoxyphene napsylate.,"Baselt, R C, RC; Wright, J A, JA",1975,Oct,20
984,0004-1955,Arkhiv patologii,Arkh Patol,[Morphological manifestations and morphogenesis of the graft vs. host reaction in the brain of F1 hybrids following the administration of parental lymphoid cells and its effect on tumor inoculation].,"Zarudin, V V, VV; Shcherbakov, V Ia, VIa",1975,NA,NA
985,0003-9942,Archives of neurology,Arch Neurol,Metachromatic leukodystrophy. Ultrastructural and enzymatic study of a case of variant O form.,"Raynaud, E J, EJ; Escourolle, R, R; Baumann, N, N; Turpin, J C, JC; Dubois, G, G; Malpuech, G, G; Lagarde, R, R",1975,Dec,NA
986,0005-0423,Australian veterinary journal,Aust Vet J,Changes in the acid base status of sheep anaesthetised with a combination of atropine sulphate acepromazine and ketamine hydrochloride.,"Thurmon, J C, JC; Kumar, A, A; Cawley, A J, AJ",1975,Oct,NA
988,0006-2928,Biochemical genetics,Biochem Genet,Molecular nature of beta-galactosidase from different tissues in two strains of the house mouse.,"Seyedyazdani, R, R; Floderus, Y, Y; Lundin, L G, LG",1975,Oct,NA
987,0005-2086,Avian diseases,Avian Dis,Influence of some physical factors on survival of Marek's disease vaccine virus.,"Colwell, W M, WM; Simmons, D G, DG; Harris, J R, JR; Fulp, T G, TG; Carrozza, J H, JH; Maag, T A, TA",NA,NA,NA
989,0264-6021,The Biochemical journal,Biochem J,"The effects of acute and chronic nicotine hydrogen (+)-tartrate administration and subsequent withdrawal on rat liver tryptophan pyrrolase activity and their comparison with those of morphine, phenobarbitone and ethanol.","Badawy, A A, AA; Evans, M, M",1975,Jun,NA
990,0264-6021,The Biochemical journal,Biochem J,Plastid development in primary leaves of Phaseolus vulgaris. Development of plastid adenosine triphosphatase activity during greening.,"Gregory, P, P; Bradbeer, J W, JW",1975,Jun,NA
991,0264-6021,The Biochemical journal,Biochem J,Tricarboxylic acid-cycle and related enzymes in restricted facultative methylotrophs.,"Colby, J, J; Zatman, L J, LJ",1975,Jun,NA
992,0264-6021,The Biochemical journal,Biochem J,Desaturation of stearic acid by liver and adipose tissue from obese-hyperglycaemic mice (ob/ob).,"Enser, M, M",1975,Jun,NA
993,0264-6021,The Biochemical journal,Biochem J,The stimulation by synaptic transmitters of the incorporation of oleate into the phospholipid of synaptic membranes.,"Gullis, R J, RJ; Rowe, C E, CE",1975,Jun,NA
994,0264-6021,The Biochemical journal,Biochem J,The interaction of magnesium ions with teichoic acid.,"Lambert, P A, PA; Hancock, I C, IC; Baddiley, J, J",1975,Sep,NA
995,0264-6021,The Biochemical journal,Biochem J,The mechanism of hydrolysis of beta-glycerophosphate by kidney alkaline phosphatase.,"Ahlers, J, J",1975,Sep,NA
996,0264-6021,The Biochemical journal,Biochem J,The pH-dependence and group modification of beta-lactamase I.,"Waley, S G, SG",1975,Sep,NA
997,0264-6021,The Biochemical journal,Biochem J,Oxidase-peroxidase enzymes of Datura innoxia. Oxidation of formylphenylacetic acid ethyl ester.,"Kalyanaraman, V S, VS; Mahadevan, S, S; Kumar, S A, SA",1975,Sep,NA
998,0264-6021,The Biochemical journal,Biochem J,Purification of 2-oxoaldehyde dehydrogenase and its dependence on unusual amines.,"Dunkerton, J, J; James, S P, SP",1975,Sep,NA
999,0264-6021,The Biochemical journal,Biochem J,Determination of polyadenylate-rich ribonucleic acid in the nucleus and in the cytoplasm of plasmacytoma cells.,"Abraham, K A, KA; Eikhom, T S, TS",1975,Sep,NA
1000,0264-6021,The Biochemical journal,Biochem J,The amino acid sequence of Neurospora NADP-specific glutamate dehydrogenase. The tryptic peptides.,"Wootton, J C, JC; Taylor, J G, JG; Jackson, A A, AA; Chambers, G K, GK; Fincham, J R, JR",1975,Sep,NA
9566,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),Planned from bedside to outside.,,1976,Sep,NA
9567,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),"Surgicenter tells plans for 5th, 6th freestanding surgery clinics.","Beyers, C K, CK",1976,Sep,NA
9568,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),"Circuit riders keep lab workers up to date, aid reimbursement.","Johnson, D, D",1976,Sep,NA
9569,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),"Junk ""reasonable cost"" reimbursements.","Horty, J F, JF",1976,Sep,NA
9570,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),New York hospital speeds its film filing.,"Carver, S T, ST; Guggenheim, W L, WL",1976,Sep,NA
9571,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),"Either way, it's our money.","Cunningham, R M, RM",1976,Sep,NA
9572,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),CDC disease detectives hampered by lack of national reporting system.,"Ayers, A M, AM",1976,Oct,NA
9573,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),Urge wait-and-see on body scanners.,"Rice, J M, JM",1976,Oct,NA
9574,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),"Purchasing executives find contracts, price protection easier to get this year.","Steele, M M, MM",1976,Oct,NA
9575,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),"Hospice building speaks on many emotional levels to patient, family.","Kohn, J, J",1976,Oct,NA
9576,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),PR man runs anti-hospital-week week.,"Walsh, T, T",1976,Oct,NA
9577,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),Providing care for the whole patient.,"Cunningham, R M, RM",1976,Oct,NA
9578,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),Administrator must work to find a nursing director with superior management ability.,"Ikle, A D, AD",1976,Oct,NA
9579,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),Federally reimbursed nursing homes lose privacy privileges.,"Horty, J F, JF",1976,Oct,NA
9580,0093-7061,Modern healthcare. [Short-term care ed.],Mod Healthc (Short Term Care),When patients can be partners.,"Cunningham, R M, RM",1976,Oct,NA
9581,0077-0094,Modern problems of pharmacopsychiatry,Mod Probl Pharmacopsychiatry,"Two weeks' treatment with chlorpromazine, thioridazine, sulpiride, or bromazepam: actions and interactions with alcohol on psychomotor skills related to driving.","Seppälä, T, T; Saario, I, I; Mattila, M J, MJ",1976,NA,NA
9583,0341-3098,"MMW, Munchener medizinische Wochenschrift",MMW Munch Med Wochenschr,[Longterm therapy of angina pectoris patients with a new beta-receptor blocker (author's transl)].,"Schaumann, H J, HJ; Diekmann, H J, HJ; Neuss, H, H; Stegaru, B, B",1976,Sep,03
9584,0341-3098,"MMW, Munchener medizinische Wochenschrift",MMW Munch Med Wochenschr,[Angina pectoris. Results of investigations to date (author's transl)].,"Vagueiro, M C, MC",1976,Sep,17
9582,0027-2507,"The Mount Sinai journal of medicine, New York",Mt Sinai J Med,Hematologic and immunologic aspects of parabiosis.,"Sloane, C E, CE; Bramis, J, J; Racelis, D, D; Burrows, L, L; Taub, R N, RN",NA,NA,NA
9585,0027-5514,Mycologia,Mycologia,Physiological studies on an isolate of Saprolegnia ferax from the larval gut of the blackfly Simulium vittatum.,"Nolan, R A, RA",NA,NA,NA
9588,0028-4793,The New England journal of medicine,N Engl J Med,The major histocompatibility complex - genetics and biology (third of three parts).,"Bach, F H, FH; van Rood, J J, JJ",1976,Oct,21
9586,0027-5514,Mycologia,Mycologia,Asexual sporulation and mycelial growth in axenic cultures of Smittium spp. (Trichomycetes).,"El-Buni, A M, AM; Lichtwardt, R W, RW",NA,NA,NA
9589,0028-4793,The New England journal of medicine,N Engl J Med,Platelet count after selective beta-receptor blockade.,"Kutti, J, J; Bergström A-L, NA, NA; Lundborg, P, P",1976,Nov,04
9587,0027-5514,Mycologia,Mycologia,Spore germination in axenic cultures of Smittium spp. (Trichomycetes).,"El-Buni, A M, AM; Lichtwardt, R W, RW",NA,NA,NA
9590,0361-8595,National Institute on Drug Abuse research monograph series,Natl Inst Drug Abuse Res Monogr Ser,Functional taxonomy of drugs.,"Bateman, M, M",1976,Oct,NA
9591,0028-0836,Nature,Nature,Aversive behaviour of crown-of-thorns starfish to coral evoked by food-related chemicals.,"Moore, R J, RJ; Huxley, C J, CJ",1976,Sep,30
9592,0028-0836,Nature,Nature,Duplication of biochemical changes of Huntington's chorea by intrastriatal injections of glutamic and kainic acids.,"McGeer, E G, EG; McGeer, P L, PL",1976,Oct,07
9593,0028-1042,Die Naturwissenschaften,Naturwissenschaften,[Self cleaning of natural waters].,"Seidel, K, K",1976,Jun,NA
9594,0028-1042,Die Naturwissenschaften,Naturwissenschaften,Lichens as indicators of air pollution.,"Nash, T H, TH",1976,Aug,NA
9595,0028-1042,Die Naturwissenschaften,Naturwissenschaften,Molecular sensory physiology of Euglena.,"Checcucci, A, A",1976,Sep,NA
9597,0026-4806,Minerva medica,Minerva Med,[Apudomas].,"Brugiapaglia, C, C",1976,Sep,19
9598,0026-4806,Minerva medica,Minerva Med,[Critical observations on changes in gamma-glutamyl-transpepdidase in hepatopathies].,"Ragaini, S, S; Peracino, A, A; Marcovina, S, S; Ronchi, E, E; Ballini, A, A; Mojoli, M, M",1976,Sep,19
9596,0026-4776,Minerva gastroenterologica,Minerva Gastroenterol,[Chronic pancreatitis: laboratory tests].,"Arisi Petrini, C, C; Giorcelli, F, F",NA,NA,NA
9599,0026-4806,Minerva medica,Minerva Med,[Changes in partial pressures of gases and of pH in the arterial blood of hypocapnic and hypercapnic subjects subjected to oxygen therapy].,"Fumagalli, G, G; Ferrara, A, A; Numeroso, R, R",1976,Sep,22
9600,0026-4806,Minerva medica,Minerva Med,[Changes in acid-base equilibrium of the arterial blood in hypoxemic-eucapnic subjects subjected to oxygen therapy with and without an antiphosphodiesterase drug].,"Ferrara, A, A; Numeroso, R, R; Santerni, N, N; Fumagalli, G, G",1976,Sep,22
9601,0026-4806,Minerva medica,Minerva Med,[Gasometric changes and acid-base equilibrium of venous blood oxygenated in vitro and incubated with or without a phosphodiesterase inhibitor].,"Numeroso, R, R; Ferrara, A, A; Ferrario, E, E; Fumagalli, G, G",1976,Sep,22
9602,0026-4806,Minerva medica,Minerva Med,[Acid-base equilibrium of the arterial blood of subjects with grave hypercapnia subjected to mechanical ventilation with the iron lung (concerning 2 cases of post-hypercapnic alkalosis)].,"Ferrara, A, A; Numeroso, R, R; Fumagalli, G, G",1976,Sep,22
9603,0029-6643,Nutrition reviews,Nutr Rev,Influence of protein restriction on immune response to alloantigens and homograft rejection.,,1976,Aug,NA
